Lawn_bacterium	Mutant_setup	Iron	Plate	Colony_pos	Colony	Measurement	Halo_size_mm							
Rs	I	___	9	7	Bottom_left	1						214.333	-91.023	4.747
Rs	I	___	9	7	Bottom_left	2						207.333	-2.862	5.091
Rs	I	___	9	7	Bottom_left	3						168.667	-86.987	4.837
Rs	I	___	9	7	Bottom_left	4						225.333	0.000	4.746
Rs	I	___	9	7	Bottom_left	5						216.000	-55.751	4.819
Rs	I	___	9	8	Bottom_center	1	3.476							
Rs	I	___	9	8	Bottom_center	2	3.479							
Rs	I	___	9	8	Bottom_center	3	3.476							
Rs	I	___	9	8	Bottom_center	4	3.560							
Rs	I	___	9	8	Bottom_center	5	3.458							
Rs	I	___	9	9	Bottom_right	1	4.747							
Rs	I	___	9	9	Bottom_right	2	5.091							
Rs	I	___	9	9	Bottom_right	3	4.837							
Rs	I	___	9	9	Bottom_right	4	4.746							
Rs	I	___	9	9	Bottom_right	5	4.819							
Rs	I	___	10	1	Top_left	1	4.323							
Rs	I	___	10	1	Top_left	2	4.661							
Rs	I	___	10	1	Top_left	3	4.493							
Rs	I	___	10	1	Top_left	4	4.451							
Rs	I	___	10	1	Top_left	5	4.492							
Rs	I	___	10	2	Top_center	1	5.634							
Rs	I	___	10	2	Top_center	2	5.618							
Rs	I	___	10	2	Top_center	3	5.665							
Rs	I	___	10	2	Top_center	4	6.676							
Rs	I	___	10	2	Top_center	5	5.778							
Rs	I	___	10	3	Top_right	1	6.116							
Rs	I	___	10	3	Top_right	2	6.032							
Rs	I	___	10	3	Top_right	3	5.509							
Rs	I	___	10	3	Top_right	4	5.424							
Rs	I	___	10	3	Top_right	5	5.665							
Rs	I	___	10	4	Mid_left	1	4.408							
Rs	I	___	10	4	Mid_left	2	4.579							
Rs	I	___	10	4	Mid_left	3	3.899							
Rs	I	___	10	4	Mid_left	4	4.153							
Rs	I	___	10	4	Mid_left	5	4.000							
Rs	I	___	10	5	Mid_center	1								
Rs	I	___	10	5	Mid_center	2								
Rs	I	___	10	5	Mid_center	3								
Rs	I	___	10	5	Mid_center	4								
Rs	I	___	10	5	Mid_center	5								
Rs	I	___	10	6	Mid_right	1	4.577							
Rs	I	___	10	6	Mid_right	2	4.408							
Rs	I	___	10	6	Mid_right	3	4.237							
Rs	I	___	10	6	Mid_right	4	4.749							
Rs	I	___	10	6	Mid_right	5	4.472							
Rs	I	___	10	7	Bottom_left	1								
Rs	I	___	10	7	Bottom_left	2								
Rs	I	___	10	7	Bottom_left	3								
Rs	I	___	10	7	Bottom_left	4								
Rs	I	___	10	7	Bottom_left	5								
Rs	I	___	10	8	Bottom_center	1	3.052							
Rs	I	___	10	8	Bottom_center	2	3.729							
Rs	I	___	10	8	Bottom_center	3	3.910							
Rs	I	___	10	8	Bottom_center	4	3.907							
Rs	I	___	10	8	Bottom_center	5	3.375							
Rs	I	___	10	9	Bottom_right	1	5.170							
Rs	I	___	10	9	Bottom_right	2	4.577							
Rs	I	___	10	9	Bottom_right	3	4.746							
Rs	I	___	10	9	Bottom_right	4	4.542							
Rs	I	___	10	9	Bottom_right	5	5.172							
Rs	I	___	11	1	Top_left	1	4.589					218.333	-85.764	4.589
Rs	I	___	11	1	Top_left	2	4.664					145.436	2.083	4.664
Rs	I	___	11	1	Top_left	3	4.542					199.000	-75.964	4.542
Rs	I	___	11	1	Top_left	4	4.527					151.000	-141.843	4.527
Rs	I	___	11	1	Top_left	5	4.492					160.667	-35.789	4.492
Rs	I	___	11	2	Top_center	1	4.374					151.333	-144.462	4.374
Rs	I	___	11	2	Top_center	2	5.785					177.667	-84.958	5.785
Rs	I	___	11	2	Top_center	3	5.596					90.000	1.736	5.596
Rs	I	___	11	2	Top_center	4	5.768					162.333	-87.474	5.768
Rs	I	___	11	2	Top_center	5	5.684					150.667	-2.564	5.684
Rs	I	___	11	3	Top_right	1	5.424					227.333	-90.000	5.424
Rs	I	___	11	3	Top_right	2	5.085					189.000	0.000	5.085
Rs	I	___	11	3	Top_right	3	5.001					146.667	-89.029	5.001
Rs	I	___	11	3	Top_right	4	5.295					216.333	39.806	5.295
Rs	I	___	11	3	Top_right	5	5.034					166.333	36.098	5.034
Rs	I	___	11	4	Mid_left	1	4.410					211.667	-92.203	4.410
Rs	I	___	11	4	Mid_left	2	4.492					211.333	0.000	4.492
Rs	I	___	11	4	Mid_left	3	4.099					164.333	-82.875	4.099
Rs	I	___	11	4	Mid_left	4	4.661					215.667	0.000	4.661
Rs	I	___	11	4	Mid_left	5	4.583					232.333	-86.820	4.583
Rs	I	___	11	5	Mid_center	1						187.333	-1.081	4.492
Rs	I	___	11	5	Mid_center	2						115.000	-90.000	3.814
Rs	I	___	11	5	Mid_center	3						188.667	4.764	4.082
Rs	I	___	11	5	Mid_center	4						151.333	-128.853	3.918
Rs	I	___	11	5	Mid_center	5						231.667	-45.000	3.835
Rs	I	___	11	6	Mid_right	1	4.492					220.333	-87.663	4.156
Rs	I	___	11	6	Mid_right	2	3.814					196.333	-30.343	4.026
Rs	I	___	11	6	Mid_right	3	4.082					217.333	-85.030	3.913
Rs	I	___	11	6	Mid_right	4	3.918					180.000	18.060	4.100
Rs	I	___	11	6	Mid_right	5	3.835					162.000	-65.556	4.096
Rs	I	___	11	7	Bottom_left	1						193.333	-86.309	5.265
Rs	I	___	11	7	Bottom_left	2						145.000	2.862	5.091
Rs	I	___	11	7	Bottom_left	3						191.333	-87.089	5.006
Rs	I	___	11	7	Bottom_left	4						171.333	-65.556	5.120
Rs	I	___	11	7	Bottom_left	5						155.333	-137.726	5.039
Rs	I	___	11	8	Bottom_center	1	4.156							
Rs	I	___	11	8	Bottom_center	2	4.026							
Rs	I	___	11	8	Bottom_center	3	3.913							
Rs	I	___	11	8	Bottom_center	4	4.100							
Rs	I	___	11	8	Bottom_center	5	4.096							
Rs	I	___	11	9	Bottom_right	1	5.265							
Rs	I	___	11	9	Bottom_right	2	5.091							
Rs	I	___	11	9	Bottom_right	3	5.006							
Rs	I	___	11	9	Bottom_right	4	5.120							
Rs	I	___	11	9	Bottom_right	5	5.039							
Rs	I	___	12	1	Top_left	1	5.088							
Rs	I	___	12	1	Top_left	2	4.746							
Rs	I	___	12	1	Top_left	3	4.241							
Rs	I	___	12	1	Top_left	4	5.085							
Rs	I	___	12	1	Top_left	5	5.085							
Rs	I	___	12	2	Top_center	1	6.356							
Rs	I	___	12	2	Top_center	2	6.280							
Rs	I	___	12	2	Top_center	3	5.350							
Rs	I	___	12	2	Top_center	4	5.679							
Rs	I	___	12	2	Top_center	5	5.997							
Rs	I	___	12	3	Top_right	1	5.773							
Rs	I	___	12	3	Top_right	2	5.947							
Rs	I	___	12	3	Top_right	3	5.440							
Rs	I	___	12	3	Top_right	4	5.340							
Rs	I	___	12	3	Top_right	5	5.336							
Rs	I	___	12	4	Mid_left	1	4.156							
Rs	I	___	12	4	Mid_left	2	4.153							
Rs	I	___	12	4	Mid_left	3	3.814							
Rs	I	___	12	4	Mid_left	4	3.898							
Rs	I	___	12	4	Mid_left	5	3.957							
Rs	I	___	12	5	Mid_center	1								
Rs	I	___	12	5	Mid_center	2								
Rs	I	___	12	5	Mid_center	3								
Rs	I	___	12	5	Mid_center	4								
Rs	I	___	12	5	Mid_center	5								
Rs	I	___	12	6	Mid_right	1	4.330							
Rs	I	___	12	6	Mid_right	2	4.495							
Rs	I	___	12	6	Mid_right	3	4.238							
Rs	I	___	12	6	Mid_right	4	4.408							
Rs	I	___	12	6	Mid_right	5	4.321							
Rs	I	___	12	7	Bottom_left	1								
Rs	I	___	12	7	Bottom_left	2								
Rs	I	___	12	7	Bottom_left	3								
Rs	I	___	12	7	Bottom_left	4								
Rs	I	___	12	7	Bottom_left	5								
Rs	I	___	12	8	Bottom_center	1	3.991							
